,title,date,keywords,section
557,“长治好人”　感召太行,2012-02-29,"“长治好人”,感召太行,山西省长治市",12  
558,做党忠诚可靠的传令兵,2011-07-29,"传令兵,慰问,解放军总参",4  
559,目光追踪她们（茶楼）,1999-07-29,"追踪她们,女足,比赛",12  
560,首都各界妇女纪念“三八”国际劳动妇女节９７周年暨表彰大会在京举行,2007-03-01,"妇女,表彰,“三八”国际",2  
561,团结动员广大妇女为实现“十一五”规划更好地发挥妇女“半边天”作用,2005-12-14,"妇女,“十一五”规划,团结动员",4  
562,芬芳腊梅映铁骑,2004-03-23,"张克芳,国防科研,措施",10  
563,简讯,1995-12-11,"北京海淀区教育委员会,浙江慈溪市徐福研究会,科普",5  
564,简讯,2003-08-12,"旅游,火车,合作",6  
565,中国女排载誉回到北京,1982-10-02,"中国女排,首都机场,教练员",1  
566,多姿的“梁红玉”,1996-01-14,"毛素欣,“梁红玉”,金山一场戏",4  
567,第一位女拖拉机手梁军的燃情岁月（我和我的祖国）,2009-07-13,"拖拉机队,梁军,农业现代化",9  
568,肩负新使命　实现新跨越,2008-10-28,"建设,妇女,维权",11  
569,云艳红破一项亚洲纪录,1994-04-27,"亚洲纪录,云艳红,比赛",4  
570,神九！神九！,2012-06-20,"航天,对接,红旗",24  
571,志愿服务城乡一体化,2012-06-11,"一体化,志愿者协会,志愿者",14  
572,博士夫妻的信息化情怀（定格）,2012-02-24,"夫妇,博士夫妻,信息化",20  
573,少年游（五首）,1984-11-07,"坚持,举重,女排",8  
574,海峡论坛·海峡妇女论坛开幕,2015-06-15,"海峡妇女论坛,开幕,海峡论坛",9  
575,蚂蚁微贷 助力女性互联网创业(财经短波),2015-02-02,"因特网,蚂蚁微贷,女性互联网",18  
576,大力促进妇女群众依靠科技创业致富,2009-05-10,"创业,妇女群众,科技",4  
577,“年轻妈妈读书活动”表彰会举行,1997-05-11,"“年轻妈妈读书活动”,表彰会,“十佳年轻妈妈”",2  
578,湘潭国税局女干部大显身手,1996-09-13,"湘潭国税局,湖南省湘潭市国税局,领导干部",3  
579,民运会首日比赛精彩纷呈,1995-11-07,"比赛精彩纷呈,民运会,成绩",8  
580,西华妇女兴县富民撑起『半边天』,1995-09-14,"妇女,半边天,“双学双比”",5  
581,谢军积极准备卫冕,1995-06-07,"中国棋院李成智图书馆,国际,第一名",8  
582,北京市公安局“警察文化节”开幕,2002-03-11,"北京市公安局,“警察文化节”,文化建设",11  
583,全国妇联常委扩大会议闭幕,2017-08-04,"常委扩大会议,闭幕,演说",9  
584,做好培养选拔女干部工作,2013-06-19,"干部工作,培养选拔,妇女干部",4  
585,生命之春（抗击非典英雄之歌）,2003-06-13,"非典,生命之春,第一线",16  
586,广岛亚运会今日赛事热点,1994-10-03,"亚运会,比赛,广岛",4  
587,“半边天”助力拔穷根,2016-11-24,"半边天,助力,溧阳市妇联",11  
588,执法如山金桂兰,2006-04-07,"金桂兰,执法如山,案件",15  
589,下岗女工蔡春香光荣入党,1997-06-09,"蔡春香,下岗女工蔡,下岗职工",3  
590,编者按,2008-10-28,"妇女,编者按,创新",11  
591,钱宇平杨晖王群三人杀出重围,1989-02-23,"钱宇平,杨晖,决定",4  
592,图片新闻,1993-03-09,"旅客,“110”环路,电影演员",3  
593,中央国家机关举办“庆七一、迎回归”音乐会,1997-06-26,"中央国家机关,“庆七一、迎回归”,中央民族乐团",4  
594,中国女队获团体冠军,1991-10-07,"第一名,中国女队,团体冠军",4  
595,电视剧《特殊连队》即将播出,1991-06-09,"《特殊连队》,播出,电视剧",4  
596,成败皆英雄（留言板）,2004-08-16,"运动员,第一名,奥运会",10  
597,亚洲女子乒乓球明星赛陈静夺冠,1995-12-18,"亚洲女子乒乓球明星赛,陈静,夺冠",8  
598,“中国武警十大忠诚卫士”评选在京揭晓,2004-05-29,"武警,忠诚卫士,评选",4  
599,沈跃跃看望慰问蹇先佛、王厉生、陈其三位女红军,2016-07-29,"慰问,红军,王厉生",9  
600,无题有感,1964-06-06,"人物,《洪湖赤卫队》,《红灯记》",6  
601,全国妇联举行理论研讨会,1998-12-16,"理论研讨会,邓小平理论,三中全会",5  
602,邹城城区国税分局力行“三个代表”,2002-04-04,"三个代表,邹城城区国税分局,文化",6  
603,北大方正杯七运之光摄影比赛揭晓,1993-10-27,"北大方正,王瑞林,王洪",4  
604,我国女排途经纽约受到华侨热烈欢迎,1982-09-30,"中国,纽约,华侨",6  
605,《木兰诗篇》西部巡演丝绸之路讲述中国传奇,2015-11-18,"《木兰诗篇》,巡演,歌剧",14  
606,我女选手扬威残奥会,1992-09-09,"扬威,世界纪录,乒乓球",1  
607,边境城市经贸旅游节内容丰富,2001-02-13,"边境城市,旅游,经贸",12  
608,“挨铡刀的”是谁？（看台人语）,2000-09-01,"“挨铡刀的”,“欢乐总动员”,“巾帼不让须眉”",12  
609,《血染的丰碑》全国巡展,2005-03-18,"《血染的丰碑》,浙江省新四军研究会,巡展",16  
610,全国女子举重赛成果丰硕,1991-04-10,"全国女子举重赛,成果,比赛",3  
611,全国各族各界妇女向任长霞学习,2004-06-09,"任长霞,妇女,“全国三八红旗手”",4  
612,短跑新星田玉梅,1986-03-23,"田玉梅,新星,比赛",3  
613,天津开展农村妇女技能培训,2018-05-23,"农村妇女,培训,妇女学",23  
614,楼上安居 楼下就业,2017-11-16,"楼上安居,楼下就业,社区",13  
615,网友寄语神十,2013-06-11,会晤,4  
616,厦门女子足球邀请赛明年一月举行,1988-11-30,"女子足球,邀请赛,中国足球协会",3  
617,全国汽车拉力赛北京站比赛将举行,2003-08-09,"全国汽车拉力赛,北京站比赛,北京市海淀区人民政府",3  
618,空军评出十大杰出青年,2002-06-15,"大青年,“空军十大杰出青年”,职务调整",2  
619,“彩礼”——荒山,1984-04-28,"荒山,“彩礼”,青年",1  
620,重庆丰都：以实效凝聚人心,2001-08-02,"群众,移民,“优秀专业技术人员”",11  
621,聂卫平过关斩将,1991-02-11,"“天元”,钱宇平,马晓春",4  
622,艺文短波,1986-06-21,"《金销记·羊肚》,《浣纱记·回营》,《驼龙传奇》",8  
623,第六届全运会蹼泳预赛落幕,1987-05-06,"全运会蹼泳,蹼泳预赛,闭幕",3  
624,各界妇女纪念中国人民抗日战争胜利70周年座谈会举行,2015-09-08,"妇女,抗日战争,座谈会",9  
625,中宣部全国妇联公布十位“最美女性”事迹,2015-03-09,"颁布,“最美女性”,中宣部",6  
626,《将帅夫人传》在京首发,1995-08-25,"《将帅夫人传》,中国,北方妇女儿童出版社",5  
627,社会主义精神文明建设丛书受欢迎,1986-11-20,"社会主义精神文明,精神文明建设,先进事迹",3  
628,秋瑾提倡读史爱国,1989-08-27,"读史爱国,历史,人物",8  
629,赵鑫鑫唐丹分获男女桂冠,2007-09-17,"赵鑫鑫唐,象棋,唐丹",12  
630,服务为民交警情,2002-09-18,"河北唐山公安交警支队,群众,交警大队城区中队",9  
631,两岸妇女厦门交流绿色发展,2018-06-07,"妇女,交流,绿色发展",9  
632,群众点单　法律援助,2015-01-09,"法律援助,群众,江苏淮安市司法局",11  
633,全国汽车拉力赛长春站比赛将举行,2003-07-10,"全国汽车拉力赛,长春站比赛,参赛",8  
634,春来气象新,2003-04-05,"静摄,下岗,失业妇女",6  
635,全国汽车拉力赛将在上海揭幕,2003-03-17,"全国汽车拉力赛,揭碑,佳通轮胎车队",12  
636,亚洲现代五项锦标赛揭幕,1993-10-23,"亚洲现代,比赛,揭碑",4  
637,中建院科研开发双丰收,1993-02-08,"科研,开发双丰收,产品",2  
638,全国女子摩托车远征队伍启程,1992-09-09,"女子摩托车队,金刚石,质量",4  
639,庆祝“三八”国际劳动妇女节８７周年,1997-03-08,"庆典,“三八”国际,纪念活动",2  
640,《春满中原》满目春风,2000-11-25,"《春满中原》,农村,农民",5  
641,工作达标与牌子达标,1992-01-14,"工作达标,企业,“企管达标”",5  
642,广东车手成为最大赢家,2004-12-21,"第一名,赢家,佛山赛协华昌",12  
643,我国首位女飞行特警亮相南京（图文广角）,2004-12-09,"中国,摄影,南京市公安局",2  
644,我选手再破两项世界纪录,1996-05-11,"世界纪录,举重,中国",4  
645,女博士,1996-04-06,"高等院校,经济,产值",7  
646,中国短道速滑女将打破世界纪录,1999-11-02,"世界纪录,比赛,普罗沃",8  
647,大地书讯,1995-09-12,"陕西人民出版社,四川文艺出版社,《屈应超书法作品集》",12  
648,第一届全国舞龙比赛开始,1995-05-01,"比赛,舞龙队,“九龙腾飞”",2  
649,你，雕塑未来,1985-09-09,"雕塑,森林,信仰",8  
650,庆“三八”百年纪念活动在京举行,2010-03-05,"纪念活动,“三八”,职工",13  
651,北京人艺演出曹禺新作《王昭君》,1979-08-02,"《王昭君》,《胆剑篇》,话剧",4  
652,省区市妇联主席研讨班结业,2013-12-27,"省区市妇联,研讨班结业,演说",6  
653,创新民族品牌 助推妇女创业,2013-05-10,"妇女,民族,创新",11  
654,超级短道汽车赛结束,2003-11-19,"超级短道,北京市海淀区人民政府,中国汽车运动联合会",12  
655,世界军运会中国射击选手金牌大丰收,2007-10-18,"金牌大丰收,运动会,海得拉巴",10  
656,女骑警风采,2002-04-10,"“职业道德百佳班组”,“巾帼文明示范岗”,首长",10  
657,志愿服务（和谐社会）,2006-10-11,"和谐社会,志愿服务,志愿者",15  
658,侨女风采,1993-11-15,"“全国巾帼建功标兵”,“全国优秀女企业家”,华日冰箱厂",4  
659,为农民印制中堂屏画和条幅,1981-12-06,"农民,屏画,数据库",4  
660,留言板,2004-08-13,"女足,奥运会,比赛",10  
661,墨西哥城世界杯射击赛开幕,1991-03-12,"世界杯射击,开幕,比赛",4  
662,临澧女党员大显身手,1995-10-10,"农村,先锋模范作用,成年妇女",11  
663,《蔡畅传》《邓颖超革命活动七十年大事记》等出版,1990-03-16,"出版,《蔡畅传》,大事记",1  
664,“美丽女性·幸福家庭”维汉双语丛书出版座谈会在京举行,2015-09-24,"出版座谈会,维汉双,幸福家庭",15  
665,图片报道,2018-01-02,,17  
666,特殊战场的美丽天使（定格）,2014-12-07,"战场,“超级病毒”,传染病",6  
667,全国大学生运动会进入尾声,1988-08-30,"大学生运动会,比赛,艺术体操",3  
668,全国妇联邀请优秀女企业家座谈,1994-07-10,"座谈会,出席,妇女",3  
669,亚洲现代五项锦标赛我女将夺魁,1993-10-26,"亚洲现代,夺冠,中华台北队",4  
670,全国妇联倡导“家庭低碳计划十五件实事”,2012-06-06,"家庭低碳计划,规划,倡议",13  
671,“我想听听国歌”,1984-08-04,"“我想听听国歌”,吴小旋,奥运会",1  
672,全国汽车拉力赛首站赛事落幕,2001-03-13,"全国汽车拉力赛,首站赛事,闭幕",8  
673,悼康克清同志,1992-05-11,"康克清同志,红军,斗争",8  
674,『绿丹兰杯』征文获奖篇目,1996-11-20,"绿丹兰,颁布,红军",11  
675,广州 治脏乱 塑形象,1999-09-09,"志愿者,团市委,整治",3  
676,国家体委向西藏登山健儿颁发荣誉奖章,1995-05-18,"登山健儿颁发,颁布,奖章",8  
677,我国女力士超三项世界举重纪录,1988-04-25,"中国,举重纪录,世界纪录",3  
678,１７部门联手提高农民科学素质,2007-03-24,"农民科学素质,培训,科技",1  
679,井冈山斗争走上银幕,1993-11-03,"斗争,诞辰纪念,纪念活动",8  
680,木兰祠在虞城重现光彩,1996-05-28,"木兰祠,重现光彩,“孝烈将军”",5  
681,艺坛星踪,2000-03-03,"艺术,军队,音乐电视",12  
682,张露萍烈士塑像在四川崇庆落成,1986-01-15,"烈士,塑像,张露萍",4  
683,发挥妇联组织作用推进新疆跨越式发展和长治久安,2010-07-15,"妇联组织,长治久安,妇女",13  
684,女力士７８人次超亚洲纪录 自行车打破两项全国纪录,1993-09-09,"全国纪录,亚洲纪录,比赛",4  
685,投身伟大时代　建设美好家园,2010-03-08,"妇女,建设,中国",14  
686,在中国特色社会主义伟大实践中撑起半边天,2013-10-29,"中国特色社会主义,妇女,实践",2  
687,在经济建设主战场发挥妇女的“半边天”作用,1992-03-08,"妇女,经济建设,半边天",3  
688,投身伟大时代　建设美好家园,2010-03-08,"妇女,建设,中国",15  
689,《华夏妇女名人词典》出版,1988-03-07,"《华夏妇女名人词典》,出版,“三八”国际",3  
690,全国十佳运动员评选揭晓,1996-03-12,"评选,十佳运动员,康威体育用品有限公司",8  
691,中国队获女团第一名,1994-11-28,"第一名,中国队,女团",4  
692,飞碟多向射击高娥身手不凡,1988-04-16,"不明飞行物,飞碟多向,高娥",4  
693,勇夺世锦赛五枚金牌,1996-05-08,"青年,陈小敏,第一名",8  
694,中国选手马湘君获法国金鸡国际射箭比赛女子个人冠军,1986-05-13,"射箭比赛女子,比赛女子个人,中法关系",3  
695,谢军胜徐俊暂居次席,1993-03-24,"比赛,国际,肖冠军",4  
696,真情如水润心田（群策群力 抗旱救灾　抗旱故事）,2010-03-30,"抗旱救灾,卢振兴,故事",5  
697,和谐中国　青春中国　亮丽中国（红船观澜）,2012-10-19,"青年,群众,创新",5  
698,尽展巾帼风采　再铸时代辉煌,2006-03-04,"妇女,建设,“十一五”",10  
699,兴国县经纪人中巾帼多,1993-02-15,"经纪人,农副产品,调查",1  
700,促进社会发展　尽显巾帼风采,2000-03-07,"社会发展,“三八”红旗,公园",11  
701,巾帼力士气定神闲（风动五环）,2008-08-16,"奥运会,比赛,曹磊",5  
702,我泳坛巾帼首次闯入奥运会决赛,1988-09-19,"奥运会,成绩,首创",4  
703,举重场巾帼显威　新纪录瞬间作古,2008-09-11,"举重,纪录瞬间,法蒂玛·奥马尔·奥马尔",6  
704,巾帼敢缚“核蛟龙”（强军路上）,2015-03-22,"“核蛟龙”,胡海燕,专业",6  
705,焊花闪耀巾帼风采（十八大代表风采录）,2012-09-22,"中国南车股份有限公司,欧清莲,代表",5  
706,巾帼爱心传递 情系灾区儿童,2008-05-31,"灾区儿童,爱心传递,捐款",7  
707,侯逸凡 巾帼不让须眉,2012-02-03,"侯逸凡,比赛,马梅季亚洛夫",15  
708,八支巾帼劲旅角逐圣保罗,1989-08-09,"圣保罗,女篮,女篮冠军赛",4  
709,一个脚印一支歌（巾帼风采）,1998-04-04,"领导干部,青年,书记",7  
710,潍坊巾帼英才走上各级领导岗位,1995-06-19,"干部队伍建设,领导干部,人才",3  
711,牡丹花开别样红（巾帼风采）,1997-11-17,"牡丹花,艺术,“牡丹图”",11  
712,让我们永远在一起（巾帼园）,1999-02-25,"女工,天津梅兰日兰有限公司,我们永远",12  
713,为素质教育呕心沥血（巾帼风采）,1998-06-06,"素质教育,小学生,学校",7  
714,百年老校 芳香巾帼,1999-12-11,"云南省昆明女子中学,学校,教育",7  
715,我巾帼大力士再夺３枚金牌,1993-11-15,"中国,比赛,举重",4  
716,九十年代的巾帼风采,1997-08-18,"妇女,领导干部,中国",11  
717,巾帼力士接连报捷　竞相赶超世界纪录,1990-05-17,"世界纪录,比赛,成绩",3  
718,昂首面向新世纪（巾帼成才行动）,1999-03-11,"妇女参政,领导干部,妇女干部",12  
719,巾帼武英第一名,1985-06-16,"第一名,山东武术队,张玉萍",3  
720,韩瑞芬再立新功（巾帼风采）,1998-03-07,"韩瑞芬,军区司令部,计划生育",7  
721,津门巾帼分区赛初赛见端倪,1993-03-15,"分区赛,第一名,人选",4  
722,巾帼力士再创５项全国纪录,1992-03-31,"全国纪录,比赛,世界纪录",3  
723,冠县第二棉厂开展“巾帼建功”活动,1992-03-04,"冠县第二棉厂,“巾帼建功”,合理化建议",2  
724,中国农村巾帼书画展作品选,1996-01-18,农村,11  
725,七名巾帼力士勇攀世界高峰,1987-12-24,"比赛,女子举重,达尔美",3  
726,中美绿茵巾帼激战津门客队获胜,1987-08-04,"中美关系,中国队,美国队",3  
727,中国女足抵达马来西亚古晋,1993-12-02,"中马关系,女足,古晋",4  
728,亚运体育场馆大门陆续敞开,1990-09-17,"体育场馆,比赛,西山射击场",4  
729,意气风发迈向新世纪,1999-04-02,"新世纪,中华全国民主妇女联合会,坚持",1  
730,意气风发迈向新世纪,1999-04-02,"新世纪,中华全国民主妇女联合会,坚持",3  
731,“阳光大姐”注册商标 “爱心大姐”频遭假冒,2003-03-24,"“爱心大姐”,“阳光大姐”,商标",5  
732,给钟玉征教授记一等功,1992-12-23,"钟玉征,联合国化学裁军委员会,科研",1  
733,《壮岁集》跋,1997-07-04,"《壮岁集》,《往日集》,于此际",11  
734,新闻图像链接,2005-04-15,"nbsp,新闻,文明礼仪伴",16  
735,特殊竞赛,1996-07-21,"特殊竞赛,福建省社会主义学院,妇女",1  
736,《今日世界妇女》图片展开幕,1995-09-03,"《今日世界妇女》,开幕,图片展",4  
737,东航“凌燕”文明服务受表彰,1999-05-05,"“凌燕”,表彰,文化",3  
738,创造良好的社会氛围,1994-09-25,"创新,爱国主义教育,社会氛围",3  
739,全国先进女职工集体和个人表彰大会举行,2015-03-03,"个人表彰大会,表彰先进,全总书记处",4  
740,帮助农村妇女增收致富,2002-01-18,"帮助农村妇女,农村妇女增收,妇女增收致富",6  
741,报友说报,2006-06-20,"党委,“常委”,乡镇",13  
742,亚洲青年举重锦标赛揭幕庐山,2001-04-09,"举重锦标赛,亚洲青年举重,庐山",8  
743,峨眉今日更妩媚,1996-07-16,"峨眉山市,文化,文明城市活动",4  
744,利用高新技术发展外向型企业　怡华公司高起点引进成效显著,1991-04-22,"外向型企业,高起点引进,高新技术",2  
745,希望的花朵　北京喜相逢,2004-06-09,"山西省希望小学,小学代表队,天安门广场",8  
746,抗日民族女英雄李林牺牲四十五周年,1985-04-27,"李林,民族,牺牲",4  
747,中日太极拳比赛交流大会即将举行,1988-03-19,"比赛,中日关系,日本武术太极拳联盟",3  
748,欧阳琦琳获冠军,2003-04-20,"欧阳琦琳,第一名,赵冠芳",8  
749,女飞行员首次单飞歼—10,2012-08-16,"首创,中国,单飞",2  
750,强者的路,1992-08-22,"病人,青年,母亲",7  
751,全国农村妇女“双学双比”活动取得新发展,1997-01-16,"“双学双比”,农村妇女,文化科技素质",3  
752,女子举重在宝岛,1995-11-23,"中国台北女子举重集训队,世界纪录,资本",8  
753,广东舞蹈教育结硕果,1999-07-09,"舞蹈,成果,教育",9  
754,郎平结婚了,1986-10-31,"北京饭店,白帆,国际关系",3  
755,“三八”国际妇女节中外妇女招待会举行,2016-03-08,"妇女,招待会,“三八”国际",4  
756,群众喝上放心水（春节基层行　秉笔写真情）,2010-02-18,"春节,群众,写真",1  
757,福建 419项健身比赛为节日助兴,2009-01-20,"健身比赛,419项,体育",12  
758,觅新星,1993-09-10,"新星,人才,体育",4  
759,送去一片心意　企望多创佳绩,1988-08-19,"中国体育代表团,奥运会,运动员",3  
760,全国女子举重锦标赛降下帷幕,1994-04-30,"女子举重,举重锦标赛,比赛",3  
761,“社区服务有干头”,2002-05-08,"“社区服务有干头”,李林杰,金碧社区服务中心",5  
762,平等、发展与和平,1993-03-08,"妇女,国际,“平等、发展与和平”",7  
763,洪学智看望中国女子垒球队和手球队,1996-07-11,"中国女子垒球队,手球队,慰问",8  
764,“中华妇女网上行推进活动”启动,2004-05-23,"中华妇女,网络,“百万家庭上网工程”",4  
765,亚运会大量增设女子项目,1986-08-21,"亚运会,女子项目,奥运会",3  
766,全运会武术预赛竞争激烈,1987-06-09,"武术,全运会,竞争",3  
767,历史的新跨越,2003-08-24,"妇女,全国代表大会,历史",6  
768,教育系统先进集体和先进个人受表彰,2007-09-10,"表彰先进,教育系统,先进集体",4  
769,枕边当吹廉正风,1998-02-07,"枕边,领导干部,家属",7  
770,上海掀起帮困高潮,1997-02-10,"企业,街道,补贴",2  
771,春节播放一批优秀电视剧,1991-02-12,"春节,优秀电视剧,电视连续剧",4  
772,纪念抗战胜利60周年,2005-05-10,"纪念,彭湃,李大钊",15  
773,高尚的追求（短评）,1995-06-15,"短评,军人,社会主义市场经济",3  
774,有女韧如丝(本色·十年),2012-09-24,"中国石化上海石化分公司,朱虹,代表",7  
775,全国十大诚实守信模范候选人 C46 袁淑梅,2007-09-01,"模范,候选人,美容",27  
776,宜昌运用本地典型进行思想教育,1994-10-23,"本地典型,思想政治教育,青年",3  
777,中国金牌总数暂居第一,1998-07-28,"不明飞行物,世界纪录,第二名",8  
778,推进妇联组织和妇女创先争优活动,2012-03-08,"妇女,创先争优,妇联组织",4  
779,充分发挥妇女在社会进步中的独特作用,2015-01-14,"妇女,独特作用,社会进步",4  
780,“英雄军事五项队”事迹座谈会举行,2010-09-16,"“英雄军事五项队”,座谈会,先进事迹",5  
781,小百花越剧节在杭举行,1994-09-21,"《梁山伯与祝英台》,中央电视台,艺术",4  
782,古城保定披绿装,1999-08-31,"古城保定,绿化,国庆",4  
783,推进妇联工作改革创新,2015-07-23,"工作改革创新,妇联工作改革,演说",2  
784,女子举重比赛落幕 中国夺金风卷残云,1994-10-06,"比赛,女子举重,世界纪录",4  
785,年轻一代英模群星璀璨,1998-07-26,"英模,人民解放军和武警部队,军队",2  
786,白求恩式的好医生赵雪芳逝世,1998-06-04,"去世,病人,人民群众",4  
787,宋庆龄颂,1982-06-03,"数据库,公文,纪念活动",8  
788,确定明年妇联工作总任务,1992-11-27,"全国妇联六届五次执委会,总任务,贯彻",3  
789,女子拳击进军北京奥运会希望渺茫,2005-05-15,"北京奥运会,女子拳击会,国际业余拳击联合会",3  
790,四项措施促大气环境质量改善,2013-06-06,"环境,空气,质量",4  
791,全国女职工岗位创新技能大赛 医疗护理项目总决赛在京举行,2012-11-08,"职工岗位创新,医疗护理项目,创新技能大赛",14  
792,北国女儿多英姿,1988-10-31,"北国女儿,世界纪录,青年",3  
793,不幸运的美国女篮球员,1989-02-14,"美国女篮,比赛,篮球",3  
794,第二届中国十大女杰受表彰,1998-08-20,"第二届,表彰大会,妇女",3  
795,全运会女足决战拉开帷幕,1993-09-07,"全运会,女足,比赛",4  
796,孙玳璋舞剧舞蹈晚会,1982-02-21,"孙玳璋,舞剧舞蹈晚会,舞蹈形象",5  
797,老将叶江川轻取冠军杯,1990-01-06,"北京国际象棋精英赛,天联商场,“天联杯”",3  
798,全国汽车拉力赛龙游站鸣金,2003-09-08,"全国汽车拉力赛,龙游,群众",8  
799,世界职业妇女大会开幕,2003-06-30,"职业妇女大会,经济,开幕式",7  
800,简讯,1994-02-07,"国际残疾人海上运动俱乐部,集团房屋建筑开发公司,中国",4  
801,小额贷款“一条龙”服务让妇女尝到“甜头”,2011-05-19,"妇女,贷款,“一条龙”",13  
802,明星聚集《寇老西儿》（影视窗）,1997-11-16,"《寇老西儿》,电影演员,影视",4  
803,全国竞走赛五女将破一项亚洲纪录,1993-02-20,"亚洲纪录,成绩,全运会",3  
804,鸭球,1991-11-16,"鸭球联合会,运动,比赛",7  
805,建瓯挑幡：力与美的结合（群众体育）,2004-05-23,"挑幡,力与美的结合,群众体育",7  
806,广大农村妇女要勇于创新拓宽致富门路,2004-02-27,"农村妇女,创新,致富门路",2  
807,余旭被批准为革命烈士,2016-11-16,"余旭,网友,不幸牺牲",4  
808,在实现中国梦的伟大实践中撑起妇女半边天（深入学习贯彻习近平同志系列讲话精神）,2013-12-11,"妇女,习近平同志,演说",7  
809,风雨兼程五十年,1999-04-03,"妇女工作,中华全国妇女联合会,妇女儿童工作委员会",6  
810,真情永恒,2010-11-20,"旅客,礼品,文化",8  
811,“在中国，妇女能顶半边天”,2018-03-09,"妇女,人民大会堂,艾滋病",21  
812,一双警惕的眼睛,1987-05-12,"高玉芬,妇女,罪犯",4  
813,促进妇女发展 共建社会和谐,2007-03-08,"妇女发展,历史,劳动",1  
814,“问不倒”·“问不恼”（劳动者之歌）,2007-01-28,"旅客,吕玉霜,“问不恼”",2  
815,纪念“三八”妇女节90周年大会举行,2000-03-08,"妇女,纪念大会,“三八”",1  
816,性别平等融入发展全过程（贯彻基本国策　实现性别平等）,2015-10-13,"基本国策,妇女,性别平等",19  
817,桥梁、纽带和支柱（人民论坛）,2008-10-31,"桥梁,妇女,改革",4  
818,全国诚实守信模范候选人,2009-06-19,"模范,蔡崇英,燕君芳",36  
819,高原女儿不逊男,1998-02-17,"妇女,逊男,陆良",12  
820,中国全力以赴为世界妇女大会作准备,1994-03-06,"妇女,全力以赴,丽塔·沃苏凯宁",1  
821,纪念“三八”妇女节90周年大会举行,2000-03-08,"妇女,纪念大会,“三八”",4  
822,希望的春潮,1998-02-07,"回乡创业,农村,市场经济",7  
823,八面来风,2005-04-10,"妇女,“背包银行”,技术",6  
824,研发路上不转向（时代先锋）,2017-05-01,"技术,曾艳梅,轨道交通",4  
825,继往开来 再创新业（社论）,1998-08-31,"全国妇女代表大会,中国,创新业",1  
826,让爱陪儿童留守,2016-05-31,"农村留守儿童,全国妇联儿童工作部,儿童留守",16  
827,那些最美的记忆（凝眸·十年）,2012-10-19,"民族,奥运会,蒋敏",12  
828,千方百计扩大再就业,2003-09-13,"再就业,担保,贷款",4  
829,这是我们的红色家园（红色家园）,2016-12-31,"历史,“红色家园”,长征",8  
830,“看到她，我们心里就温暖”（劳动者之歌）,2006-08-07,"明光村液化气站,我们心里,劳动者",2  
831,动员广大妇女参加两个文明建设,1996-11-23,"妇女,两个文明建设,动员",1  
832,与伟大祖国一道前进（社论）,2000-03-08,"妇女,社论,国际",1  
833,天津市和平区加强社区思想政治工作（加强和改进思想政治工作先进经验②）,2004-04-24,"社区,思想政治工作,天津市和平区",2  
834,警花独秀,1994-03-15,"刘玉琴,刑事案件,警察",10  
